vault,date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
orca,2025-02-23T01:00:00.000Z,0.013853756144762644927788410205742230473,13931446.585984081,1260.7959160315,796748.63345673412740430545095827244022,,
orca,2025-02-23T03:00:00.000Z,0.013853756144762644927788410205742230473,13931446.585984081,1260.7959160315,796748.63345673412740430545095827244022,,
orca,2025-02-23T04:00:00.000Z,0.010641400772431737434232430845431566473,10818985.933768049,979.1182270061,796748.63345673412740430545095827244022,,
orca,2025-02-23T05:00:00.000Z,0.010641400772431737434232430845431566473,10818985.933768049,979.1182270061,796980.48691365064388522857532464792803,,
orca,2025-02-23T06:00:00.000Z,0.010504567201463047705384401864075154123,10681722.485367246,966.6958849256,797004.32406022375135092057321754745381,,
orca,2025-02-23T07:00:00.000Z,0.010504567201463047705384401864075154123,10681722.485367246,966.6958849256,797004.32406022375135092057321754745381,,
orca,2025-02-23T08:00:00.000Z,0.01051886494248582402185858176084553589,10696628.269282905,968.0448583701,797014.75905588933876849536334886182181,,
orca,2025-02-23T09:00:00.000Z,0.01051886494248582402185858176084553589,10696628.269282905,968.0448583701,797014.75905588933876849536334886182181,,
orca,2025-02-23T10:00:00.000Z,0.008497373285157806537794018360896354035,8654416.445077073,783.2246882794,797014.75905588933876849536334886182181,,
orca,2025-02-23T11:00:00.000Z,0.009430109235100340517279423286359273496,9602920.725888442,869.0643256929,797040.35076360547106628271126226512661,,
orca,2025-02-23T12:00:00.000Z,0.009430109235100340517279423286359273496,9602920.725888442,869.0643256929,797228.32479296771516021095876925245056,,
orca,2025-02-23T13:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797228.32479296771516021095876925245056,,
orca,2025-02-23T15:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T16:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T17:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T18:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T19:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T20:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T21:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T22:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-23T23:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-24T00:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-24T01:00:00.000Z,0.00942255046246761806876689119267734995,9594029.495912839,868.2596693801,797237.51628954058399645780466006371856,,
orca,2025-02-24T02:00:00.000Z,0.00766440917803514254245063131391176838,7691337.30677409,696.0660262631,797237.51628954058399645780466006371856,,
orca,2025-02-24T03:00:00.000Z,0.00766440917803514254245063131391176838,7691337.30677409,696.0660262631,797533.93443956054288373533935361239275,,
orca,2025-02-24T04:00:00.000Z,0.017991752257684862366005421403835103358,17708717.351666164,1602.6389203258,798521.73575029979157846617658698469823,,
orca,2025-02-24T05:00:00.000Z,0.020518382311389537892404530403774119116,20095362.13269011,1818.6302730085,798521.73575029979157846617658698469823,,
orca,2025-02-24T06:00:00.000Z,0.030364477706090100714084868917903503741,29133100.205734346,2636.545568619,798756.26218084566921286190736373990463,,
orca,2025-02-24T07:00:00.000Z,0.030364477706090100714084868917903503741,29133100.205734346,2636.545568619,799640.86962884275462925731319772824823,,
orca,2025-02-24T08:00:00.000Z,0.031112938790358233204119527818028866938,29814601.985483084,2698.2214796862,799640.86962884275462925731319772824823,,
orca,2025-02-24T09:00:00.000Z,0.031624355117229968207374296656430123324,30271827.91015422,2739.600425869,799712.98053557557735914795820789408584,,
orca,2025-02-24T10:00:00.000Z,0.031624355117229968207374296656430123324,30271827.91015422,2739.600425869,799779.9511894744220192702705187840696,,
orca,2025-02-24T11:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T12:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T13:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T14:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T15:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T16:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T17:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T18:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T19:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
