oracle_price,bid_impact_price,ask_impact_price,funding_rate,next_funding_rate,created_at
84.572888,84.52,84.538546,0.00000241,0.00000081,1772125204111
84.906208,84.9,84.91988,0.00000081,-0.00000658,1772128804211
85.372001,85.29,85.30951,-0.00000658,-0.00000389,1772132404111
86.470463,86.382459,86.42,-0.00000389,0.00001229,1772136004111
86.010305,85.96,85.97,0.00001229,0.00000718,1772139604111
85.933428,85.89,85.9,0.00000718,0.00001282,1772143204111
86.111922,86.04,86.05,0.00001282,0.00000787,1772146804111
85.896243,85.84,85.85,0.00000787,0.000015,1772150404111
85.84961,85.81,85.828153,0.000015,0.0000135,1772154004111
86.13525,86.06,86.07,0.0000135,0.00000316,1772157604111
86.577298,86.54,86.55,0.00000316,0.00000272,1772161204111
87.649003,87.59,87.6,0.00000272,0.00000469,1772164804111
87.547407,87.49,87.509592,0.00000469,0.000015,1772168404111
87.535997,87.49,87.5,0.000015,0.000015,1772172004111
87.329465,87.280663,87.3,0.000015,0.000015,1772175604111
87.312208,87.256692,87.28,0.000015,0.000015,1772179204111
87.57966,87.534999,87.55,0.000015,0.000015,1772182804111
86.326425,86.28,86.295002,0.000015,0.000015,1772186404111
84.712108,84.67,84.689749,0.000015,0.00000675,1772190004111
83.583838,83.447111,83.476546,0.00000675,-0.00001377,1772193604111
83.116603,83.036935,83.06,-0.00001377,-0.00002464,1772197204111
83.065469,82.960133,82.99,-0.00002464,-0.0000221,1772200804111
82.372638,82.25,82.26,-0.0000221,-0.00001651,1772204404111
82.679709,82.6,82.61,-0.00001651,-0.00002076,1772208004111
81.362983,81.36,81.379934,-0.00002076,-0.00001534,1772211604111
81.840385,81.82,81.83,-0.00001534,-0.00001287,1772215204111
81.475988,81.41,81.42,-0.00001287,-0.00000504,1772218804111
81.567899,81.49,81.5,-0.00000504,-0.00000628,1772222404111
81.460056,81.4,81.41,-0.00000628,-0.00000549,1772226004111
81.199694,81.17,81.205514,-0.00000549,0.00000278,1772229604111
81.425402,81.35,81.36,0.00000278,-0.00000438,1772233204111
81.846319,81.79,81.8,-0.00000438,-0.00000634,1772236804111
82.114672,82.04,82.068865,-0.00000634,-0.00000782,1772240404111
81.776645,81.71,81.725749,-0.00000782,-0.00000533,1772244003767
82.136623,82.06,82.073043,-0.00000533,-0.00000673,1772247603767
81.734301,81.69,81.7,-0.00000673,-0.00000312,1772251203767
81.661297,81.61,81.629499,-0.00000312,-0.00000035,1772254803767
81.556354,81.49,81.5,-0.00000035,-0.00000163,1772258403767
77.537979,77.44,77.45,-0.00000163,-0.00002571,1772262003767
78.700499,78.6,78.61,-0.00002571,-0.00001858,1772265603767
78.005792,77.93,77.953322,-0.00001858,-0.00001791,1772269203767
78.407105,78.29,78.3,-0.00001791,-0.00002571,1772272803767
79.113182,79.03,79.05,-0.00002571,-0.00001945,1772276403768
78.770555,78.73,78.74,-0.00001945,-0.00001208,1772280003767
78.932725,78.86,78.87,-0.00001208,-0.0000097,1772283603767
80.844941,80.91,80.956403,-0.0000097,-0.00000104,1772287203767
80.261121,80.2,80.21,-0.00000104,-0.00001878,1772290803767
80.917782,80.83,80.84,-0.00001878,-0.00002382,1772294403767
81.085414,81.04,81.05,-0.00002382,-0.00001445,1772298003767
81.369261,81.32,81.33,-0.00001445,-0.00001297,1772301603767
82.358936,82.296647,82.31,-0.00001297,0.00000239,1772305203767
82.214983,82.120204,82.15,0.00000239,-0.00000916,1772308803767
84.907132,84.97,84.985002,-0.00000916,0.00001175,1772312403767
84.520761,84.5,84.51,0.00001175,0.00001199,1772316003767
84.289467,84.22,84.23,0.00001199,0.00001452,1772319603767
84.354061,84.37,84.409681,0.00001452,0.000015,1772323203767
84.873026,84.816118,84.83,0.000015,0.00001226,1772326803767
86.754875,86.82,86.83,0.00001226,0.00001107,1772330403767
87.959417,87.94,87.95,0.00001107,0.000015,1772334003767
